Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Marius Wolf,Right Midfield,23,E. Frankfurt,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2018-2019,10000000,5000000
Benedikt HÃ¶wedes,Centre-Back,30,FC Schalke 04,1.Bundesliga,Loko Moscow,Premier Liga,2018-2019,9000000,5000000
Gonzalo Castro,Central Midfield,31,Bor. Dortmund,1.Bundesliga,VfB Stuttgart,1.Bundesliga,2018-2019,8000000,5000000
Sergi GÃ³mez,Centre-Back,26,Celta de Vigo,LaLiga,Sevilla FC,LaLiga,2018-2019,8000000,5000000
Adam Masina,Left-Back,24,Bologna,Serie A,Watford,Premier League,2018-2019,7000000,5000000
Christophe HÃ©relle,Centre-Back,25,Troyes,Ligue 2,OGC Nice,Ligue 1,2018-2019,6000000,5000000
Firmin Mubele,Centre-Forward,24,Stade Rennais,Ligue 1,Toulouse,Ligue 1,2018-2019,6000000,5000000
Florent Hadergjonaj,Right-Back,23,FC Ingolstadt,2.Bundesliga,Huddersfield,Premier League,2018-2019,5000000,5000000
Nemanja Maksimovic,Central Midfield,23,Valencia CF,LaLiga,Getafe CF,LaLiga,2018-2019,5000000,5000000
Juan Iturbe,Right Winger,25,AS Roma,Serie A,Club Tijuana,Liga MX Apertura,2018-2019,4000000,5000000
Sidcley,Left-Back,25,AtlÃ©tico-PR,SÃ©rie A,Dynamo Kyiv,Premier Liga,2018-2019,4000000,5000000
FabrÃ­cio,Centre-Forward,28,Portimonense,Liga NOS,Urawa Reds,J1 League,2018-2019,4000000,5000000
Johan Mojica,Left-Back,25,Rayo Vallecano,LaLiga,Girona FC,LaLiga,2018-2019,4000000,5000000
Petros,Central Midfield,29,SÃ£o Paulo,SÃ©rie A,Nasr,Professional League,2018-2019,3000000,5000000
Christian KouamÃ©,Centre-Forward,20,Cittadella,Serie B,Genoa,Serie A,2018-2019,2800000,5000000
Luca Waldschmidt,Centre-Forward,22,Hamburger SV,2.Bundesliga,SC Freiburg,1.Bundesliga,2018-2019,2500000,5000000
Marc Muniesa,Centre-Back,26,Stoke City,Championship,Girona FC,LaLiga,2018-2019,2500000,5000000
Pietro Iemmello,Centre-Forward,26,Sassuolo,Serie A,Benevento,Serie B,2018-2019,2000000,5000000
Felipe Vizeu,Centre-Forward,21,Flamengo,SÃ©rie A,Udinese Calcio,Serie A,2018-2019,1500000,5000000
Marco Tumminello,Centre-Forward,19,AS Roma,Serie A,Atalanta,Serie A,2018-2019,1000000,5000000
Jens Odgaard,Centre-Forward,19,Inter,Serie A,Sassuolo,Serie A,2018-2019,800000,5000000
Marco Carraro,Defensive Midfield,20,Inter,Serie A,Atalanta,Serie A,2018-2019,800000,5000000
Jonathan IkonÃ©,Attacking Midfield,20,Paris SG,Ligue 1,LOSC Lille,Ligue 1,2018-2019,700000,5000000
Giangiacomo Magnani,Centre-Back,22,Juventus,Serie A,Sassuolo,Serie A,2018-2019,600000,5000000
Giangiacomo Magnani,Centre-Back,22,Perugia,Serie B,Juventus,Serie A,2018-2019,600000,5000000
Evan N'Dicka,Centre-Back,18,AJ Auxerre,Ligue 2,E. Frankfurt,1.Bundesliga,2018-2019,400000,5000000
Jasmin Kurtic,Attacking Midfield,29,Atalanta,Serie A,SPAL,Serie A,2018-2019,5000000,4800000
TchÃª TchÃª,Central Midfield,25,Palmeiras,SÃ©rie A,Dynamo Kyiv,Premier Liga,2018-2019,3000000,4800000
Silvan Widmer,Right-Back,25,Udinese Calcio,Serie A,FC Basel,Super League,2018-2019,8500000,4500000
Yuya Osako,Second Striker,28,1. FC KÃ¶ln,2.Bundesliga,Werder Bremen,1.Bundesliga,2018-2019,4500000,4500000
Kyle Bartley,Centre-Back,27,Swansea,Championship,West Brom,Championship,2018-2019,3500000,4500000
